Query,Arquivo,Linha,Texto,Score
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,1,ARTIGOS                                                            E-ISSN: 2176-6665,0.1625722199678421
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,3,## DOI: 10.5433/2176-6665.2025v30e52669,0.17154589295387268
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,5,Recebido em 30/03/2025; aprovado em 18/096/2025; publicado em 10/11/2025.,0.2513447403907776
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,7,"## O caso Twitter/X: algoritmo, espaço público e ultraliberalismo digital",0.3694820702075958
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,9,"## The Twitter/X Case: algorithm, public space, and digital ultra-liberalism",0.25921741127967834
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,11,<!-- image -->,0.11903730034828186
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,13,<!-- image -->,0.11903730034828186
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,15,*Ettore Schimid Batalha 1 *Jefferson Ribeiro da Silva 2,0.2282981276512146
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,17,*Bruno Daniel Vendruscolo Espinosa Velásquez 3,0.12958849966526031
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,19,## Resumo,0.3069120943546295
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,21,"Este  artigo  investiga  a  dinâmica  das  redes  sociais  na  formação  do  debate público, com ênfase no Twitter (atualmente denominado X) e na influência dos  algoritmos  na  regulação  do  conteúdo.  Por  meio  de  uma  abordagem interdisciplinar que integra os conceitos da Sociologia Digital e das Ciências da  Computação,  o  estudo  analisa  como  os  mecanismos  de  curadoria  e moderação -operados  por  empresas  privadas -afetam  a  construção  dos discursos e a propagação das informações. O trabalho reúne um levantamento inicial  de  dados  empíricos,  análises  acadêmicas  e  reportagens  jornalísticas para demonstrar que as alterações nas políticas de moderação, sobretudo após a aquisição do Twitter por Elon Musk, impactaram significativamente tanto a  qualidade  do  conteúdo  gerado  quanto  a  confiança  dos  usuários  e  a sustentabilidade econômica da plataforma. Os resultados indicam que, embora a  flexibilização  das  diretrizes  de  moderação  possa  ampliar  o  acesso  e  a visibilidade de diversas vozes, ela também favorece o aumento do discurso de ódio, a proliferação de bots e a retirada de anunciantes, configurando um cenário desafiador para a manutenção de um debate público plural e transparente.",0.35227566957473755
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,23,Palavras-chave: redes sociais; espaço público; algoritmos; Twitter/X; desinformação.,0.3675999045372009
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,25,## Abstract,0.2611841857433319
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,27,"This article  investigates  the  dynamics  of  social  networks  in shaping public debate, with an emphasis on Twitter (currently called X) and the influence of algorithms on content regulation. Using an interdisciplinary approach that integrates concepts from Digital Sociology and Computer Science, the study analyzes how curation and moderation mechanisms -operated  by private companies -affect  the  construction  of  discourses  and  the  dissemination  of information. The research brings together empirical data, academic analyses and journalistic reports to demonstrate that changes in moderation policies,",0.24001546204090118
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,29,"1  Universidade Federal de São Carlos, Centro de Ciências Humanas e Sociais, Programa de Pós-Graduação em Sociologia (PPGS/UFSCar, São Carlos, São Paulo, Brasil). ORCID: https://orcid.org/0000-0002-7179-8713.",0.22201044857501984
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,31,"2  Universidade Federal de Mato Grosso do Sul, Faculdade de Educação, Programa de Pós-Graduação em  Educação  (PPGEdu-FAED/UFMS,  Campo  Grande,  Mato  Grosso  do  Sul,  Brasil).  ORCID: https://orcid.org/0009-0002-9985-9212.",0.15965880453586578
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,33,"3  Universidade de São Paulo, Escola de Artes, Ciências e Humanidades, Programa de Pós-Graduação em Modelagem  de  Sistemas  Complexos  (PGSCX-EACH/USP,  São  Paulo,  São  Paulo,  Brasil).  ORCID: https://orcid.org/0000-0002-5705-9359.",0.2666231393814087
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,35,<!-- image -->,0.11903730034828186
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,37,1,0.09257123619318008
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,39,<!-- image -->,0.11903730034828186
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,41,"especially after Elon Musk's acquisition of Twitter, have significantly impacted both  the  quality  of  the  content  generated  and  the  trust  of  users  and  the platform's economic  sustainability.  The  results  indicate  that,  although  the relaxation  of  moderation  guidelines  can  increase  access  and  visibility  of diverse voices, it also favors the increase in hate speech, the proliferation of bots  and  the  removal  of  advertisers,  creating  a  challenging  scenario  for maintaining a plural and transparent public debate.",0.18037793040275574
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,43,Keywords: social networks; public space; algorithms; Twitter/X; disinformation.,0.27212560176849365
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,45,## Introdução,0.30374839901924133
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,47,"Este estudo pretende analisar a maneira pela qual as redes sociais digitais, por meio de suas dinâmicas, reivindicam para si o status de  um 'espaço público' para debates  neste  contexto  da  normatização  do  ultraliberalismo  no  cenário  político.  A relação entre internet e espaço público, observada como relevante nos últimos anos, protagonizou uma série de movimentos que produziram tensões diversas ao redor do mundo.  Por  exemplo,  a  partir  do  compartilhamento  maciço  de  informações  e  do desenvolvimento  das  Tecnologias  de  Informação  e  Comunicação,  as  redes  sociais digitais se destacaram em diversas mobilizações nas últimas duas décadas, como as jornadas de junho de 2013 no Brasil e a Primavera Árabe, nas quais a utilização de redes  sociais  resultou  em  formas  de  engajamento  e  organização  popular  para  a derrubada do regime incumbente (Castells, 2013).",0.2759002447128296
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,49,"Atualmente, outra forma de engajamento, pautada na participação online como demonstração de força na arena política, tem assumido o protagonismo nesse campo. Essa  participação,  pautada  na  veiculação  de  informações,  transforma  algumas plataformas  em  palcos  de  debates,  entendendo  que  desta  maneira  o  alcance  de discursos e práticas políticas pode ser metrificado. Neste domínio, as ideias vinculadas à noção de 'liberdade de expressão' se destacam em relação às demais.",0.31169742345809937
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,51,"Assim, a problemática torna-se um desafio sociológico e conduz a algumas questões: o que leva estes espaços de um domínio privado, estadunidense e ultraliberal, a  reivindicarem  legitimidade  como  espaço  de  debate  público?  De  que  maneira  o borramento da fronteira entre liberdade e democracia se manifesta nesses espaços?",0.35026273131370544
